benchmark.name,execution.execution_id,execution.repetition,execution.repetitions,execution.workdir,execution.execution_dir,vars.nodes,vars.tasks_per_nodes,vars.ost_number,vars.pdi_config,vars.gys_io_output,metadata.jobid,metadata.executor_status,metadata.submission_time,metadata.end,metadata.slurm_submit_stdout,metadata.slurm_submit_stderr,metadata.submit_returncode,metadata.slurm_state_live,metadata.slurm_state,metadata.slurm_exitcode,metadata.sysinfo.hostname,metadata.sysinfo.cpu_model,metadata.sysinfo.cpu_cores,metadata.sysinfo.memory_kb,metadata.sysinfo.kernel,metadata.sysinfo.os,metadata.sysinfo.ib_devices,metadata.sysinfo.filesystems,metadata.sysinfo.duration_seconds,metrics.time_write,metrics.time_total,metrics.bandwidth
Gys_io Benchmark - Subfiling,4,1,5,/home/aloupoue/iops_run/run_018,/home/aloupoue/iops_run/run_018/runs/exec_0004/repetition_001,2,8,8,pdi_fpp8.yaml,/home/aloupoue/iops_run/run_018/runs/exec_0004/repetition_001/summary.txt,4705376,SUCCEEDED,2026-05-18 14:58:40,2026-05-18 15:01:11,Submitted batch job 4705376,,0,RUNNING,COMPLETED,0:0,bora025.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,127,15.8433,119.955,4.04
Gys_io Benchmark - Subfiling,4,2,5,/home/aloupoue/iops_run/run_018,/home/aloupoue/iops_run/run_018/runs/exec_0004/repetition_002,2,8,8,pdi_fpp8.yaml,/home/aloupoue/iops_run/run_018/runs/exec_0004/repetition_002/summary.txt,4705390,SUCCEEDED,2026-05-18 15:01:11,2026-05-18 15:03:41,Submitted batch job 4705390,,0,RUNNING,COMPLETED,0:0,bora002.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,122,10.1728,115.872,6.29
Gys_io Benchmark - Subfiling,1,1,5,/home/aloupoue/iops_run/run_018,/home/aloupoue/iops_run/run_018/runs/exec_0001/repetition_001,2,8,1,pdi_fpp1.yaml,/home/aloupoue/iops_run/run_018/runs/exec_0001/repetition_001/summary.txt,4705392,SUCCEEDED,2026-05-18 15:03:41,2026-05-18 15:06:12,Submitted batch job 4705392,,0,RUNNING,COMPLETED,0:0,bora040.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,122,11.9417,114.78,5.36
Gys_io Benchmark - Subfiling,1,2,5,/home/aloupoue/iops_run/run_018,/home/aloupoue/iops_run/run_018/runs/exec_0001/repetition_002,2,8,1,pdi_fpp1.yaml,/home/aloupoue/iops_run/run_018/runs/exec_0001/repetition_002/summary.txt,4705406,SUCCEEDED,2026-05-18 15:06:12,2026-05-18 15:08:42,Submitted batch job 4705406,,0,RUNNING,COMPLETED,0:0,bora030.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,123,12.7026,115.209,5.04
Gys_io Benchmark - Subfiling,3,1,5,/home/aloupoue/iops_run/run_018,/home/aloupoue/iops_run/run_018/runs/exec_0003/repetition_001,2,8,4,pdi_fpp4.yaml,/home/aloupoue/iops_run/run_018/runs/exec_0003/repetition_001/summary.txt,4705412,SUCCEEDED,2026-05-18 15:08:42,2026-05-18 15:11:12,Submitted batch job 4705412,,0,RUNNING,COMPLETED,0:0,bora041.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303160,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,124,11.914,114.454,5.37
Gys_io Benchmark - Subfiling,1,3,5,/home/aloupoue/iops_run/run_018,/home/aloupoue/iops_run/run_018/runs/exec_0001/repetition_003,2,8,1,pdi_fpp1.yaml,/home/aloupoue/iops_run/run_018/runs/exec_0001/repetition_003/summary.txt,4705423,SUCCEEDED,2026-05-18 15:11:13,2026-05-18 15:13:43,Submitted batch job 4705423,,0,RUNNING,COMPLETED,0:0,bora040.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,124,12.5377,114.89,5.1
Gys_io Benchmark - Subfiling,1,4,5,/home/aloupoue/iops_run/run_018,/home/aloupoue/iops_run/run_018/runs/exec_0001/repetition_004,2,8,1,pdi_fpp1.yaml,/home/aloupoue/iops_run/run_018/runs/exec_0001/repetition_004/summary.txt,4705429,SUCCEEDED,2026-05-18 15:13:43,2026-05-18 15:16:13,Submitted batch job 4705429,,0,RUNNING,COMPLETED,0:0,bora040.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,125,13.0929,116.25,4.89
Gys_io Benchmark - Subfiling,1,5,5,/home/aloupoue/iops_run/run_018,/home/aloupoue/iops_run/run_018/runs/exec_0001/repetition_005,2,8,1,pdi_fpp1.yaml,/home/aloupoue/iops_run/run_018/runs/exec_0001/repetition_005/summary.txt,4705434,SUCCEEDED,2026-05-18 15:16:14,2026-05-18 15:18:44,Submitted batch job 4705434,,0,RUNNING,COMPLETED,0:0,bora040.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,121,7.31267,114.374,8.75
Gys_io Benchmark - Subfiling,4,3,5,/home/aloupoue/iops_run/run_018,/home/aloupoue/iops_run/run_018/runs/exec_0004/repetition_003,2,8,8,pdi_fpp8.yaml,/home/aloupoue/iops_run/run_018/runs/exec_0004/repetition_003/summary.txt,4705448,SUCCEEDED,2026-05-18 15:18:44,2026-05-18 15:21:15,Submitted batch job 4705448,,0,RUNNING,COMPLETED,0:0,bora030.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,122,11.4003,114.982,5.61
Gys_io Benchmark - Subfiling,4,4,5,/home/aloupoue/iops_run/run_018,/home/aloupoue/iops_run/run_018/runs/exec_0004/repetition_004,2,8,8,pdi_fpp8.yaml,/home/aloupoue/iops_run/run_018/runs/exec_0004/repetition_004/summary.txt,4705454,SUCCEEDED,2026-05-18 15:21:15,2026-05-18 15:25:45,Submitted batch job 4705454,,0,RUNNING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,123,9.21386,112.398,6.95
Gys_io Benchmark - Subfiling,3,2,5,/home/aloupoue/iops_run/run_018,/home/aloupoue/iops_run/run_018/runs/exec_0003/repetition_002,2,8,4,pdi_fpp4.yaml,/home/aloupoue/iops_run/run_018/runs/exec_0003/repetition_002/summary.txt,4705458,SUCCEEDED,2026-05-18 15:25:45,2026-05-18 15:28:15,Submitted batch job 4705458,,0,RUNNING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,125,11.0935,114.82,5.77
Gys_io Benchmark - Subfiling,3,3,5,/home/aloupoue/iops_run/run_018,/home/aloupoue/iops_run/run_018/runs/exec_0003/repetition_003,2,8,4,pdi_fpp4.yaml,/home/aloupoue/iops_run/run_018/runs/exec_0003/repetition_003/summary.txt,4705465,SUCCEEDED,2026-05-18 15:28:15,2026-05-18 15:30:46,Submitted batch job 4705465,,0,RUNNING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,121,3.00547,104.609,21.29
Gys_io Benchmark - Subfiling,4,5,5,/home/aloupoue/iops_run/run_018,/home/aloupoue/iops_run/run_018/runs/exec_0004/repetition_005,2,8,8,pdi_fpp8.yaml,/home/aloupoue/iops_run/run_018/runs/exec_0004/repetition_005/summary.txt,4705470,SUCCEEDED,2026-05-18 15:30:46,2026-05-18 15:33:16,Submitted batch job 4705470,,0,RUNNING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,122,8.91533,111.552,7.18
Gys_io Benchmark - Subfiling,2,1,5,/home/aloupoue/iops_run/run_018,/home/aloupoue/iops_run/run_018/runs/exec_0002/repetition_001,2,8,2,pdi_fpp2.yaml,/home/aloupoue/iops_run/run_018/runs/exec_0002/repetition_001/summary.txt,4705472,SUCCEEDED,2026-05-18 15:33:16,2026-05-18 15:35:46,Submitted batch job 4705472,,0,RUNNING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,125,13.8082,116.267,4.63
Gys_io Benchmark - Subfiling,3,4,5,/home/aloupoue/iops_run/run_018,/home/aloupoue/iops_run/run_018/runs/exec_0003/repetition_004,2,8,4,pdi_fpp4.yaml,/home/aloupoue/iops_run/run_018/runs/exec_0003/repetition_004/summary.txt,4705480,SUCCEEDED,2026-05-18 15:35:46,2026-05-18 15:38:16,Submitted batch job 4705480,,0,RUNNING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,126,15.2785,119.014,4.19
Gys_io Benchmark - Subfiling,2,2,5,/home/aloupoue/iops_run/run_018,/home/aloupoue/iops_run/run_018/runs/exec_0002/repetition_002,2,8,2,pdi_fpp2.yaml,/home/aloupoue/iops_run/run_018/runs/exec_0002/repetition_002/summary.txt,4705483,SUCCEEDED,2026-05-18 15:38:17,2026-05-18 15:40:47,Submitted batch job 4705483,,0,RUNNING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,121,9.45605,112.365,6.77
Gys_io Benchmark - Subfiling,3,5,5,/home/aloupoue/iops_run/run_018,/home/aloupoue/iops_run/run_018/runs/exec_0003/repetition_005,2,8,4,pdi_fpp4.yaml,/home/aloupoue/iops_run/run_018/runs/exec_0003/repetition_005/summary.txt,4705496,SUCCEEDED,2026-05-18 15:40:47,2026-05-18 15:43:17,Submitted batch job 4705496,,0,RUNNING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,125,14.1137,117.266,4.53
Gys_io Benchmark - Subfiling,2,3,5,/home/aloupoue/iops_run/run_018,/home/aloupoue/iops_run/run_018/runs/exec_0002/repetition_003,2,8,2,pdi_fpp2.yaml,/home/aloupoue/iops_run/run_018/runs/exec_0002/repetition_003/summary.txt,4705499,SUCCEEDED,2026-05-18 15:43:17,2026-05-18 15:45:48,Submitted batch job 4705499,,0,RUNNING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,123,11.6097,115.44,5.51
Gys_io Benchmark - Subfiling,2,4,5,/home/aloupoue/iops_run/run_018,/home/aloupoue/iops_run/run_018/runs/exec_0002/repetition_004,2,8,2,pdi_fpp2.yaml,/home/aloupoue/iops_run/run_018/runs/exec_0002/repetition_004/summary.txt,4705506,SUCCEEDED,2026-05-18 15:45:48,2026-05-18 15:48:18,Submitted batch job 4705506,,0,RUNNING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,122,11.6989,115.164,5.47
Gys_io Benchmark - Subfiling,2,5,5,/home/aloupoue/iops_run/run_018,/home/aloupoue/iops_run/run_018/runs/exec_0002/repetition_005,2,8,2,pdi_fpp2.yaml,/home/aloupoue/iops_run/run_018/runs/exec_0002/repetition_005/summary.txt,4705509,SUCCEEDED,2026-05-18 15:48:18,2026-05-18 15:50:48,Submitted batch job 4705509,,0,RUNNING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,121,8.3339,111.874,7.68
